41,nfs_read_bytes_rate,nfs read rate,1024,kbyte/second,read,0,procnfs
71,user_pct,USER,100,%,fraction of available hyperthread time spent in user processes,0,procstat_72
1,MemFree,RAM idle,1048576,GB,/proc/meminfo:MemFree,0,meminfo
10,mlx5_port_rcv_error_rate,rcv errors rate,60,err/minute,lustre port port_rcv_errors rate,0,gw_sysclassib
69,nscratch_getattr_rate,nscratch getattr rate,1,calls/second,client.lstats.getattr#llite.nscratch,1,Lustre_Client
3,mem_pct_active,App RAM fraction,1,%-active,100*Active/MemTotal,0,meminfo
7,PortXmitPkts,PortXmitPkts rate,1,packet/second,omnipath PortXmitPkts rate,0,opa2
24,mlx5_port_multicast_xmit_packets_rate,multicast_xmit_packets rate,1,packets/second,lustre port port_multicast_xmit_packets rate,0,gw_sysclassib
68,nscratch_seek_rate,nscratch seek rate,1,calls/second,client.lstats.seek#llite.nscratch,1,Lustre_Client
30,rx_error_rate,rx error rate,1,errors/second,receive errors,0,procnet
25,mlx5_port_multicast_rcv_packets_rate,multicast_rcv_packets_rate,1,packets/second,lustre port port_multicast_rcv_packets rate,0,gw_sysclassib
73,sys_pct,SYS,100,%,fraction of available hyperthread time spent in kernel processes,0,procstat_72
79,procs_blocked,processes blocked,1,proc,processes waiting to run,0,procstat_72
57,open_rate,open rate,1,opens/second,opens,0,lustre_client
27,tx_bytes_rate,tx rate,1024,kbyte/second,tx_bytes,0,procnet
19,mlx5_port_rcv_data_rate,rcv_data rate,262144,MB/second,lustre port port_rcv_data rate,0,gw_sysclassib
90,load5min,load 5 minute average,100,proc,5 minute load average from /proc/loadavg,0,loadavg
12,mlx5_port_rcv_switch_relay_error_rate,rcv_switch_relay errors rate,60,err/minute,lustre port port_rcv_switch_relay_errors rate,0,gw_sysclassib
31,tx_error_rate,tx error rate,1,errors/second,transmit errors,0,procnet
67,nscratch_close_rate,nscratch close rate,1,calls/second,client.lstats.close#llite.nscratch,1,Lustre_Client
91,load15min,load 15 minute average,100,proc,15 minute load average from /proc/loadavg,0,loadavg
6,PortRcvData,PortRcvData rate,1048576,flit/second,omnipath PortRcvData rate,0,opa2
11,mlx5_port_rcv_remote_physical_error_rate,rcv_remote errors rate,60,err/minute,lustre port port_rcv_remote_physical_errors rate,0,gw_sysclassib
14,mlx5_port_xmit_constraint_error_rate,xmit_constraint_error rate,60,err/minute,lustre port port_xmit_constraint_errors rate,0,gw_sysclassib
15,mlx5_port_rcv_constraint_error_rate,rcv_constraint error rate,60,err/minute,lustre port port_rcv_constraint_errors rate,0,gw_sysclassib
62,gscratch_getattr_rate,gscratch getattr rate,1,calls/second,client.lstats.getattr#llite.gscratch,1,Lustre_Client
70,nscratch_create_rate,nscratch create rate,1,calls/second,client.lstats.create#llite.nscratch,1,Lustre_Client
8,PortRcvPkts,PortRcvPkts rate,1,packet/second,omnipath PortRcvPkts rate,0,opa2
22,mlx5_port_unicast_xmit_packets_rate,unicast_xmit_packets rate,1,packets/second,lustre port port_unicast_xmit_packets rate,0,gw_sysclassib
57,close_rate,open rate,1,closes/second,closes,0,lustre_client
63,create_rate,create_rate,1,calls/second,client.lstats.create,0,lustre_client
66,nscratch_open_rate,nscratch open rate,1,calls/second,client.lstats.open#llite.nscratch,1,Lustre_Client
76,irq_rate,interrupts/second,1,int/second,interrupts serviced rate,0,procstat_72
28,rx_packet_rate,rx packet rate,1,packets/second,receive packets,0,procnet
16,mlx5_local_link_integrity_error_rate,local_link_integrity error rate,60,err/minute,lustre port local_link_integrity_errors rate,0,gw_sysclassib
5,PortXmitData_rate,PortXmitData rate,1048576,flit/second,omnipath PortXmitData rate,0,opa2
9,mlx5_symbol_error_rate,symbol errors rate,60,err/minute,lustre port symbol_error rate,0,gw_sysclassib
20,mlx5_port_xmit_packets_rate,xmit_packets rate,1,packets/second,lustre port port_xmit_packets rate,0,gw_sysclassib
77,context_switches_rate,context switches/second,1,cs/second,context switching rate,0,procstat_72
17,mlx5_VL15_dropped_rate,VL15_dropped rate,60,drops/minute,lustre port VL15_dropped rate,0,gw_sysclassib
42,nfs_write_bytes_rate,nfs write rate,1024,kbyte/second,write,0,procnfs
72,nice_pct,NICE,100,%,fraction of available hyperthread time spent in niced processes,0,procstat_72
65,write_bytes_rate,write rate,1048576, MB/second, client.lstats.write_bytes,0,lustre_client
18,mlx5_port_xmit_data_rate,xmit_data rate,262144,MB/second,lustre port port_xmit_data rate,0,gw_sysclassib
60,gscratch_close_rate,gscratch close rate,1,calls/second,client.lstats.close#llite.gscratch,1,Lustre_Client
78,procs_running,processes running,1,proc,processes currently running,0,procstat_72
2,MemAvailable,MemAvailable,1048576,GB,memory the kernel thinks it could give apps if needed,0,meminfo
43,nfs_create_rate,nfs create rate,1,calls/second,create,0,procnfs
59,gscratch_open_rate,gscratch open rate,1,calls/second,client.lstats.open#llite.gscratch,1,Lustre_Client
89,load1min,load 1 minute average,100,proc,1 minute load average from /proc/loadavg,0,loadavg
64,read_bytes_rate,read rate,1048576, MB/second, client.lstats.read_bytes,0,lustre_client
23,mlx5_port_unicast_rcv_packets_rate,unicast_rcv_packets rate,1,packets/second,lustre port port_unicast_rcv_packets rate,0,gw_sysclassib
34,nfs_numcalls_rate,nfs total calls rate,1,calls/second,numcalls,0,procnfs
61,gscratch_seek_rate,gscratch seek rate,1,calls/second,client.lstats.seek#llite.gscratch,1,Lustre_Client
26,rx_bytes_rate,rx rate,1024,kbyte/second,rx_bytes,0,procnet
29,tx_packet_rate,tx packet rate,1,packets/second,transmit packets,0,procnet
4,mem_used,RAM used,1048576,GB,/proc/meminfo: MemTotal - MemFree,0,meminfo
13,mlx5_port_xmit_discards_rate,xmit_discards rate,60,discards/minute,lustre port port_xmit_discards rate,0,gw_sysclassib
21,mlx5_port_rcv_packets_rate,rcv_packets rate,1,packets/second,lustre port port_rcv_packets rate,0,gw_sysclassib
74,idle_pct,IDLE,100,%,fraction of available hyperthread time spent doing nothing,0,procstat_72
75,iowait_pct,IOWAIT,100,%,fraction of available core time spent in iowait,0,procstat_72
